date	gold	platinum	palladium	silver50
20120111	1667.25	1495.09	648.66	1478.00
20120112	1671.87	1512.93	653.06	1512.50
20120113	1683.17	1527.84	652.90	1518.00
20120114	1667.31	1505.86	641.74	1552.50
20120117	1687.40	1528.78	657.10	1521.50
20120118	1685.56	1547.64	662.26	1516.00
20120119	1680.40	1533.36	658.17	1542.00
20120120	1684.02	1555.49	678.57	1525.50
20120121	1655.76	1515.93	671.96	1548.50
20120124	1687.33	1551.34	684.00	1529.00
20120125	1656.75	1538.62	674.02	1610.50
20120126	1635.72	1528.25	667.50	1575.00
20120127	1672.05	1558.83	679.36	1545.50
20120128	1680.98	1574.58	668.68	1628.00
20120131	1679.63	1562.97	664.82	1634.00
20120201	1693.83	1584.68	676.36	1617.00
20120202	1704.93	1574.91	677.47	1642.50
20120203	1695.92	1571.22	673.52	1640.00
20120204	1710.57	1585.64	690.25	1636.50
20120207	1668.91	1564.91	674.56	1649.00
20120208	1663.79	1569.96	679.06	1621.00
20120209	1663.96	1574.22	673.98	1588.50
20120210	1653.66	1588.77	681.31	1640.00
20120211	1648.70	1583.83	674.66	1624.00
20120214	1659.47	1597.97	675.51	1612.00
20120215	1664.74	1581.56	666.48	1636.50
20120216	1661.18	1572.12	662.35	1613.00
20120217	1666.69	1565.68	659.49	1636.00
20120218	1670.45	1578.83	670.30	1600.00
20120221	1655.94	1577.90	663.52	1603.00
20120222	1663.07	1596.05	671.16	1606.50
20120223	1679.47	1620.37	680.50	1610.50
20120225	1683.90	1625.67	678.86	1635.50
20120228	1652.81	1591.94	664.87	1665.50
20120229	1651.89	1591.62	658.99	1633.00
20120301	1668.53	1611.61	670.03	1661.00
20120302	1620.60	1593.29	662.93	1753.00
20120303	1614.87	1602.15	669.68	1627.50
20120306	1598.95	1567.88	664.82	1658.00
20120307	1595.94	1545.28	651.44	1618.00
20120308	1604.53	1544.93	643.72	1584.00
20120312	1602.71	1571.84	655.33	1608.50
20120313	1626.47	1606.20	673.38	1615.50
20120314	1607.88	1610.96	664.12	1602.00
20120315	1576.99	1597.86	663.24	1593.00
20120316	1566.21	1597.83	663.86	1561.50
20120317	1556.45	1578.16	661.66	1527.00
20120320	1553.97	1570.88	657.66	1516.00
20120321	1545.77	1560.30	653.56	1521.00
20120322	1555.08	1553.20	653.58	1513.00
20120323	1538.23	1520.37	637.48	1503.00
20120324	1560.78	1536.20	618.26	1502.50
20120327	1558.19	1526.24	621.21	1482.00
20120328	1576.54	1545.83	622.61	1500.00
20120329	1568.14	1533.54	611.55	1543.50
20120330	1558.96	1545.07	610.12	1526.50
20120331	1565.96	1549.22	612.90	1499.00
20120403	1570.08	1543.66	618.97	1530.00
20120404	1577.34	1561.56	620.67	1526.50
20120405	1543.88	1539.38	610.27	1559.50
20120406	1535.22	1518.66	605.57	1513.00
20120407	1544.85	1507.91	601.46	1481.00
20120410	1554.04	1516.88	605.04	1489.50
20120411	1566.19	1534.99	616.47	1489.50
20120412	1584.86	1529.28	610.37	1511.50
20120413	1573.83	1515.36	611.28	1507.00
20120414	1582.83	1510.34	614.94	1491.00
20120417	1577.13	1503.21	615.25	1548.50
