Day,Date,Pageviews,Clicks,Enrollments,Payments
Sat,11/10,7723,687,134,70
Sun,12/10,9102,779,147,70
Mon,13/10,10511,909,167,95
Tue,14/10,9871,836,156,105
Wed,15/10,10014,837,163,64
Thu,16/10,9670,823,138,82
Fri,17/10,9008,748,146,76
Sat,18/10,7434,632,110,70
Sun,19/10,8459,691,131,60
Mon,20/10,10667,861,165,97
Tue,21/10,10660,867,196,105
Wed,22/10,9947,838,162,92
Thu,23/10,8324,665,127,56
Fri,24/10,9434,673,220,122
Sat,25/10,8687,691,176,128
Sun,26/10,8896,708,161,104
Mon,27/10,9535,759,233,124
Tue,28/10,9363,736,154,91
Wed,29/10,9327,739,196,86
Thu,30/10,9345,734,167,75
Fri,31/10,8890,706,174,101
Sat,1/11,8460,681,156,93
Sun,2/11,8836,693,206,67
Mon,3/11,9437,788,,
Tue,4/11,9420,781,,
Wed,5/11,9570,805,,
Thu,6/11,9921,830,,
Fri,7/11,9424,781,,
Sat,8/11,9010,756,,
Sun,9/11,9656,825,,
Mon,10/11,10419,874,,
Tue,11/11,9880,830,,
Wed,12/11,10134,801,,
Thu,13/11,9717,814,,
Fri,14/11,9192,735,,
Sat,15/11,8630,743,,
Sun,16/11,8970,722,,
