Day,Date,Pageviews,Clicks,Enrollments,Payments
Sat,11/10,7716,686,105,34
Sun,12/10,9288,785,116,91
Mon,13/10,10480,884,145,79
Tue,14/10,9867,827,138,92
Wed,15/10,9793,832,140,94
Thu,16/10,9500,788,129,61
Fri,17/10,9088,780,127,44
Sat,18/10,7664,652,94,62
Sun,19/10,8434,697,120,77
Mon,20/10,10496,860,153,98
Tue,21/10,10551,864,143,71
Wed,22/10,9737,801,128,70
Thu,23/10,8176,642,122,68
Fri,24/10,9402,697,194,94
Sat,25/10,8669,669,127,81
Sun,26/10,8881,693,153,101
Mon,27/10,9655,771,213,119
Tue,28/10,9396,736,162,120
Wed,29/10,9262,727,201,96
Thu,30/10,9308,728,207,67
Fri,31/10,8715,722,182,123
Sat,1/11,8448,695,142,100
Sun,2/11,8836,724,182,103
Mon,3/11,9359,789,,
Tue,4/11,9427,743,,
Wed,5/11,9633,808,,
Thu,6/11,9842,831,,
Fri,7/11,9272,767,,
Sat,8/11,8969,760,,
Sun,9/11,9697,850,,
Mon,10/11,10445,851,,
Tue,11/11,9931,831,,
Wed,12/11,10042,802,,
Thu,13/11,9721,829,,
Fri,14/11,9304,770,,
Sat,15/11,8668,724,,
Sun,16/11,8988,710,,
